Start;Duration;Pitch;Velocity;Instrument
0.280;0.340;50;100;2
0.620;0.530;50;100;2
0.620;0.385;59;100;3
0.620;0.380;55;100;3
1.000;0.305;62;100;3
1.150;0.150;52;100;2
1.300;0.340;50;100;2
1.300;0.324;67;100;3
1.640;0.680;59;100;2
1.640;0.385;59;100;3
1.640;0.380;55;100;3
2.020;0.305;62;100;3
2.320;0.291;59;100;2
2.320;0.324;67;100;3
2.611;0.049;57;100;2
2.660;0.780;55;100;2
2.660;0.385;59;100;3
2.660;0.380;52;100;3
3.040;0.405;64;100;3
3.440;0.300;55;100;2
3.440;0.284;67;100;3
3.740;0.425;59;100;3
3.740;0.400;52;100;3
4.140;0.345;64;100;3
4.480;0.320;55;100;2
4.480;0.304;67;100;3
4.800;0.530;57;100;2
4.800;0.345;60;100;3
4.800;0.340;48;100;3
5.140;0.365;64;100;3
5.330;0.170;59;100;2
5.500;0.300;57;100;2
5.500;0.284;69;100;3
5.800;0.570;62;100;2
5.800;0.395;60;100;3
5.800;0.360;50;100;3
6.160;0.365;62;100;3
6.370;0.150;64;100;2
6.520;0.360;62;100;2
6.520;0.331;66;100;3
6.880;0.680;59;100;2
6.880;0.365;59;100;3
6.880;0.340;43;100;3
7.220;0.345;62;100;3
7.560;0.351;67;100;3
7.940;0.465;71;100;3
7.940;0.460;55;100;3
8.400;0.200;67;100;3
