"time";"frequency"
0;0
0.005805;0
0.01161;0
0.017415;0
0.02322;0
0.029025;0
0.03483;0
0.040635;0
0.04644;0
0.052245;0
0.05805;0
0.063855;0
0.06966;0
0.075465;0
0.08127;0
0.087075;0
0.09288;0
0.098685;0
0.10449;0
0.11029;0
0.1161;0
0.1219;0
0.12771;0
0.13351;0
0.13932;0
0.14512;0
0.15093;0
0.15673;0
0.16254;0
0.16834;0
0.17415;0
0.17995;0
0.18576;0
0.19156;0
0.19737;0
0.20317;0
0.20898;0
0.21478;0
0.22059;0
0.22639;0
0.2322;0
0.238;0
0.24381;0
0.24961;0
0.25542;0
0.26122;0
0.26703;0
0.27283;0
0.27864;0
0.28444;0
0.29025;0
0.29605;0
0.30186;0
0.30766;0
0.31347;0
0.31927;0
0.32508;0
0.33088;0
0.33669;0
0.34249;0
0.3483;0
0.3541;0
0.35991;0
0.36571;0
0.37152;0
0.37732;0
0.38313;0
0.38893;0
0.39474;0
0.40054;0
0.40635;0
0.41215;0
0.41796;0
0.42376;0
0.42957;0
0.43537;0
0.44118;0
0.44698;0
0.45279;0
0.45859;0
0.4644;0
0.4702;0
0.47601;0
0.48181;0
0.48762;0
0.49342;0
0.49923;0
0.50503;0
0.51084;0
0.51664;0
0.52245;0
0.52825;0
0.53406;0
0.53986;0
0.54567;0
0.55147;0
0.55728;0
0.56308;0
0.56889;0
0.57469;0
0.5805;0
0.5863;0
0.59211;0
0.59791;0
0.60372;0
0.60952;0
0.61533;0
0.62113;0
0.62694;0
0.63274;0
0.63855;0
0.64435;0
0.65016;0
0.65596;0
0.66177;0
0.66757;0
0.67338;0
0.67918;0
0.68499;0
0.69079;0
0.6966;0
0.7024;0
0.70821;0
0.71401;0
0.71982;0
0.72562;0
0.73143;0
0.73723;0
0.74304;0
0.74884;0
0.75465;0
0.76045;0
0.76626;0
0.77206;0
0.77787;0
0.78367;0
0.78948;0
0.79528;0
0.80109;0
0.80689;0
0.8127;0
0.8185;0
0.82431;0
0.83011;0
0.83592;0
0.84172;0
0.84753;0
0.85333;0
0.85914;0
0.86494;0
0.87075;0
0.87655;0
0.88236;0
0.88816;0
0.89397;0
0.89977;0
0.90558;0
0.91138;0
0.91719;0
0.92299;0
0.9288;0
0.9346;0
0.94041;0
0.94621;0
0.95202;0
0.95782;0
0.96363;0
0.96943;0
0.97524;0
0.98104;0
0.98685;0
0.99265;0
0.99846;0
1.0043;0
1.0101;0
1.0159;0
1.0217;0
1.0275;0
1.0333;0
1.0391;0
1.0449;0
1.0507;0
1.0565;0
1.0623;0
1.0681;0
